date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-02-08,Solana,581150.3723403725,1545748.9085749234,-964598.5362345509
2024-02-09,Solana,1721578.7917299941,2786950.8443124336,-1065372.0525824395
2024-02-10,Solana,1119745.7452785887,2204245.658373898,-1084499.9130953092
2024-02-11,Solana,1041808.8774375289,1229580.322748046,-187771.44531051698
2024-02-12,Solana,923253.6540807962,1751184.549559035,-827930.8954782389
2024-02-13,Solana,618810.6451880466,2714600.783709505,-2095790.1385214585
2024-02-14,Solana,549152.4242519719,1073817.0940028026,-524664.6697508307
2024-02-15,Solana,830898.5007657941,1552312.4185181088,-721413.9177523147
2024-02-16,Solana,872142.1186453978,991752.3723648804,-119610.25371948257
2024-02-17,Solana,516847.521620792,616438.0994841026,-99590.57786331058
2024-02-18,Solana,495323.93065300916,933038.5637326988,-437714.63307968964
2024-02-19,Solana,859409.8039526116,1790364.5588141726,-930954.754861561
2024-02-20,Solana,562441.8020586574,1549350.0537607353,-986908.2517020779
2024-02-21,Solana,550313.5611056922,1249893.7132595317,-699580.1521538395
2024-02-22,Solana,900097.9407844917,1427130.4020519292,-527032.4612674374
2024-02-23,Solana,845521.9587660456,1426541.781419149,-581019.8226531033
2024-02-24,Solana,699718.7046309753,859533.433884406,-159814.72925343073
2024-02-25,Solana,937330.6250036862,1336584.5675995562,-399253.94259587
2024-02-26,Solana,528387.2743996729,1047114.040282589,-518726.76588291617
2024-02-27,Solana,4000649.5291227074,3584649.096766289,416000.4323564186
2024-02-28,Solana,1808181.2499863384,2816272.8393985084,-1008091.58941217
2024-02-29,Solana,745110.8311447309,3088372.862950874,-2343262.031806143
2024-03-01,Solana,603859.3965954625,1675247.5438404498,-1071388.1472449873
2024-03-02,Solana,879839.4474306031,1580874.2227676269,-701034.7753370238
2024-03-03,Solana,626791.992828925,1805996.494300056,-1179204.501471131
2024-03-04,Solana,555299.7331836869,1722252.7908152055,-1166953.0576315187
2024-03-05,Solana,1248959.0270295548,1606931.9673780822,-357972.9403485274
2024-03-06,Solana,600796.4128984943,1214985.2711456486,-614188.8582471543
2024-03-07,Solana,571146.1517088723,2682012.121391513,-2110865.9696826404
2024-03-08,Solana,906349.2515662023,1673335.384695778,-766986.1331295756
2024-03-09,Solana,358420.00508153084,1679040.8992129297,-1320620.8941313988
2024-03-10,Solana,843486.4185976328,1281710.47677094,-438224.0581733072
2024-03-11,Solana,2422572.508668584,4127967.1129493667,-1705394.6042807829
2024-03-12,Solana,927731.590336015,2137054.3635493303,-1209322.7732133153
2024-03-13,Solana,2533771.3485594545,3680503.390487027,-1146732.0419275723
2024-03-14,Solana,2676968.734380977,5106753.894936837,-2429785.16055586
2024-03-15,Solana,1809407.9192088232,4530953.087387292,-2721545.1681784685
2024-03-16,Solana,6826651.847094865,8630087.675537445,-1803435.82844258
