asset,date,price_usd,market_cap,volume_24h
bitcoin,2023-10-26,34151.66,,1363077907.10912
bitcoin,2023-10-27,33892.02,,1096889423.419842
bitcoin,2023-10-28,34081.0,,575936523.347353
bitcoin,2023-10-29,34525.89,,711652985.1790963
bitcoin,2023-10-30,34474.73,,1159771907.6421053
bitcoin,2023-10-31,34639.77,,1125442444.4884882
bitcoin,2023-11-01,35421.43,,1856348820.4794536
bitcoin,2023-11-02,34941.59,,1686141698.092171
bitcoin,2023-11-03,34716.78,,1347962831.5658624
bitcoin,2023-11-04,35062.07,,639958598.4198353
bitcoin,2023-11-05,35011.88,,859350974.0014893
bitcoin,2023-11-06,35046.09,,782427702.2653205
bitcoin,2023-11-07,35399.12,,1358031361.1978526
bitcoin,2023-11-08,35624.72,,1185492160.4927278
bitcoin,2023-11-09,36701.09,,3033417922.7826815
bitcoin,2023-11-10,37301.63,,1605069174.5241032
bitcoin,2023-11-11,37130.0,,851924612.7339427
bitcoin,2023-11-12,37064.13,,655570813.1382711
bitcoin,2023-11-13,36462.93,,1208037462.3041444
bitcoin,2023-11-14,35551.19,,1639130785.08681
bitcoin,2023-11-15,37858.2,,1963249656.5094738
bitcoin,2023-11-16,36163.51,,1744503339.0151725
bitcoin,2023-11-17,36613.92,,1391225051.1923273
bitcoin,2023-11-18,36568.1,,624434069.5256634
bitcoin,2023-11-19,37359.86,,781531839.4371592
bitcoin,2023-11-20,37448.78,,1343722642.386475
bitcoin,2023-11-21,35741.65,,1756747495.9818547
bitcoin,2023-11-22,37408.34,,1657141022.427348
bitcoin,2023-11-23,37294.28,,888826648.8541473
bitcoin,2023-11-24,37713.57,,1688715728.079148
bitcoin,2023-11-25,37780.67,,430165251.7609749
bitcoin,2023-11-26,37447.43,,797321193.5893991
bitcoin,2023-11-27,37242.7,,1112557435.2767923
bitcoin,2023-11-28,37818.87,,1414360251.6823456
bitcoin,2023-11-29,37854.64,,1252586505.66259
bitcoin,2023-11-30,37723.96,,934491058.9608141
bitcoin,2023-12-01,38682.52,,1669750777.6239815
bitcoin,2023-12-02,39450.35,,1043421976.7660652
bitcoin,2023-12-03,39972.26,,1059860641.0494444
bitcoin,2023-12-04,41991.1,,3285736844.1408806
bitcoin,2023-12-05,44073.32,,2890205389.4901266
bitcoin,2023-12-06,43762.69,,2256979505.594805
bitcoin,2023-12-07,43273.14,,2046945851.8836446
bitcoin,2023-12-08,44170.99,,1875581755.4469104
bitcoin,2023-12-09,43713.6,,1096487106.5648339
bitcoin,2023-12-10,43789.51,,830485162.5569535
bitcoin,2023-12-11,41253.4,,3205540835.511434
bitcoin,2023-12-12,41492.39,,1773961284.3375635
bitcoin,2023-12-13,42869.03,,1919703389.4848804
bitcoin,2023-12-14,43022.26,,1798740625.30166
bitcoin,2023-12-15,41940.3,,1416898938.509979
bitcoin,2023-12-16,42278.03,,1020469627.8857331
bitcoin,2023-12-17,41374.65,,1161963642.9627964
bitcoin,2023-12-18,42657.8,,1936003306.0825727
bitcoin,2023-12-19,42275.99,,1747830242.4615936
bitcoin,2023-12-20,43668.93,,2115813869.779619
bitcoin,2023-12-21,43861.8,,1514529919.1877797
bitcoin,2023-12-22,43969.04,,1436074497.5128598
bitcoin,2023-12-23,43702.16,,722943825.3332176
bitcoin,2023-12-24,42991.5,,1093460634.8894227
bitcoin,2023-12-25,43576.13,,1172053386.5109816
bitcoin,2023-12-26,42508.93,,1746333612.304945
bitcoin,2023-12-27,43428.85,,1554082990.052276
bitcoin,2023-12-28,42563.76,,1508408742.378081
bitcoin,2023-12-29,42066.95,,1803086285.2465775
bitcoin,2023-12-30,42140.28,,964875790.984935
bitcoin,2023-12-31,42283.58,,1001519241.5559053
bitcoin,2024-01-01,44179.55,,1169995682.0280013
bitcoin,2024-01-02,44946.91,,2944331821.8230762
bitcoin,2024-01-03,42845.23,,3507104563.744232
bitcoin,2024-01-04,44151.1,,2095095359.4936347
bitcoin,2024-01-05,44145.11,,2100953924.3687155
bitcoin,2024-01-06,43968.32,,781212883.4916061
bitcoin,2024-01-07,43929.02,,1014635096.1241482
bitcoin,2024-01-08,46951.04,,3298772150.6815076
bitcoin,2024-01-09,46110.0,,3251442072.8083963
bitcoin,2024-01-10,46653.99,,4123809481.712767
bitcoin,2024-01-11,46339.16,,4105139605.028302
bitcoin,2024-01-12,42782.73,,3827483735.576057
bitcoin,2024-01-13,42847.99,,1547370611.5531662
bitcoin,2024-01-14,41732.35,,1202212782.257693
bitcoin,2024-01-15,42511.1,,1718982911.1081028
bitcoin,2024-01-16,43137.95,,1931947150.05907
bitcoin,2024-01-17,42776.1,,1419888430.9228892
bitcoin,2024-01-18,41327.5,,1839426541.263579
bitcoin,2024-01-19,41659.03,,1993846466.5387518
bitcoin,2024-01-20,41696.04,,662768008.1509343
bitcoin,2024-01-21,41580.33,,489151571.0309043
bitcoin,2024-01-22,39568.02,,2247452153.7954326
bitcoin,2024-01-23,39897.6,,2275851990.6468267
bitcoin,2024-01-24,40084.88,,1569704923.8307493
bitcoin,2024-01-25,39961.09,,1238813296.1526136
bitcoin,2024-01-26,41823.51,,1951700659.289807
bitcoin,2024-01-27,42120.63,,678418702.3509445
bitcoin,2024-01-28,42031.06,,1154365891.6682587
