date,chain,fees_usd
2022-05-18,arbitrum,233275.0
2022-05-19,arbitrum,283648.0
2022-05-20,arbitrum,192465.0
2022-05-21,arbitrum,71130.0
2022-05-22,arbitrum,142434.0
2022-05-23,arbitrum,216331.0
2022-05-24,arbitrum,173745.0
2022-05-25,arbitrum,194552.0
2022-05-26,arbitrum,481375.0
2022-05-27,arbitrum,338382.0
2022-05-28,arbitrum,74904.0
2022-05-29,arbitrum,158323.0
2022-05-30,arbitrum,380343.0
2022-05-31,arbitrum,135947.0
2022-06-01,arbitrum,191719.0
2022-06-02,arbitrum,82930.0
2022-06-03,arbitrum,132589.0
2022-06-04,arbitrum,46756.0
2022-06-05,arbitrum,58344.0
2022-06-06,arbitrum,90031.0
2022-06-07,arbitrum,189995.0
2022-06-08,arbitrum,96699.0
2022-06-09,arbitrum,76123.0
2022-06-10,arbitrum,193736.0
2022-06-11,arbitrum,612190.0
2022-06-12,arbitrum,321651.0
2022-06-13,arbitrum,625621.0
2022-06-14,arbitrum,311923.0
2022-06-15,arbitrum,425180.0
2022-06-16,arbitrum,205592.0
2022-06-17,arbitrum,129260.0
2022-06-18,arbitrum,316922.0
2022-06-19,arbitrum,169869.0
2022-06-20,arbitrum,165562.0
2022-06-21,arbitrum,143696.0
2022-06-22,arbitrum,112493.0
2022-06-23,arbitrum,115722.0
2022-06-24,arbitrum,122616.0
2022-06-25,arbitrum,84802.0
2022-06-26,arbitrum,82044.0
2022-06-27,arbitrum,83185.0
2022-06-28,arbitrum,161479.0
2022-06-29,arbitrum,138880.0
2022-06-30,arbitrum,244688.0
2022-07-01,arbitrum,169304.0
2022-07-02,arbitrum,60589.0
2022-07-03,arbitrum,54308.0
2022-07-04,arbitrum,143028.0
2022-07-05,arbitrum,129933.0
2022-07-06,arbitrum,120439.0
2022-07-07,arbitrum,151573.0
2022-07-08,arbitrum,159686.0
2022-07-09,arbitrum,120200.0
2022-07-10,arbitrum,187992.0
2022-07-11,arbitrum,229894.0
2022-07-12,arbitrum,152449.0
2022-07-13,arbitrum,239176.0
2022-07-14,arbitrum,211282.0
2022-07-15,arbitrum,193627.0
2022-07-16,arbitrum,159019.0
2022-07-17,arbitrum,204163.0
2022-07-18,arbitrum,426841.0
2022-07-19,arbitrum,355815.0
2022-07-20,arbitrum,398182.0
2022-07-21,arbitrum,244851.0
2022-07-22,arbitrum,181872.0
2022-07-23,arbitrum,158150.0
2022-07-24,arbitrum,163977.0
2022-07-25,arbitrum,194354.0
2022-07-26,arbitrum,250175.0
2022-07-27,arbitrum,227736.0
2022-07-28,arbitrum,402819.0
2022-07-29,arbitrum,902592.0
2022-07-30,arbitrum,297573.0
2022-07-31,arbitrum,192712.0
2022-08-01,arbitrum,303385.0
2022-08-02,arbitrum,291798.0
2022-08-03,arbitrum,256528.0
2022-08-04,arbitrum,199348.0
2022-08-05,arbitrum,257253.0
2022-08-06,arbitrum,194886.0
2022-08-07,arbitrum,184371.0
2022-08-08,arbitrum,294431.0
2022-08-09,arbitrum,299526.0
2022-08-10,arbitrum,460541.0
2022-08-11,arbitrum,525880.0
2022-08-12,arbitrum,274421.0
2022-08-13,arbitrum,424574.0
2022-08-14,arbitrum,371026.0
2022-08-15,arbitrum,503480.0
2022-08-16,arbitrum,303185.0
2022-08-17,arbitrum,479413.0
2022-08-18,arbitrum,208430.0
2022-08-19,arbitrum,647345.0
2022-08-20,arbitrum,359318.0
2022-08-21,arbitrum,402739.0
2022-08-22,arbitrum,567989.0
2022-08-23,arbitrum,503609.0
2022-08-24,arbitrum,485178.0
2022-08-25,arbitrum,413211.0
2022-08-26,arbitrum,835428.0
2022-08-27,arbitrum,436137.0
2022-08-28,arbitrum,296502.0
2022-08-29,arbitrum,317620.0
2022-08-30,arbitrum,446748.0
2022-08-31,arbitrum,390972.0
2022-09-01,arbitrum,344574.0
2022-09-02,arbitrum,426854.0
2022-09-03,arbitrum,157420.0
2022-09-04,arbitrum,226677.0
2022-09-05,arbitrum,464124.0
2022-09-06,arbitrum,1073315.0
2022-09-07,arbitrum,813097.0
2022-09-08,arbitrum,460667.0
2022-09-09,arbitrum,487625.0
2022-09-10,arbitrum,398864.0
2022-09-11,arbitrum,252101.0
2022-09-12,arbitrum,640531.0
2022-09-13,arbitrum,1272196.0
2022-09-14,arbitrum,678349.0
2022-09-15,arbitrum,1205510.0
2022-09-16,arbitrum,480992.0
2022-09-17,arbitrum,309648.0
2022-09-18,arbitrum,778864.0
2022-09-19,arbitrum,617521.0
2022-09-20,arbitrum,429224.0
2022-09-21,arbitrum,681256.0
2022-09-22,arbitrum,557208.0
2022-09-23,arbitrum,452330.0
2022-09-24,arbitrum,176140.0
2022-09-25,arbitrum,277154.0
2022-09-26,arbitrum,342016.0
2022-09-27,arbitrum,531996.0
2022-09-28,arbitrum,464698.0
2022-09-29,arbitrum,294545.0
2022-09-30,arbitrum,463698.0
2022-10-01,arbitrum,110593.0
2022-10-02,arbitrum,171158.0
2022-10-03,arbitrum,253986.0
2022-10-04,arbitrum,307448.0
2022-10-05,arbitrum,814143.0
2022-10-06,arbitrum,364590.0
2022-10-07,arbitrum,375722.0
2022-10-08,arbitrum,194318.0
2022-10-09,arbitrum,118807.0
2022-10-10,arbitrum,378668.0
2022-10-11,arbitrum,511245.0
2022-10-12,arbitrum,222661.0
2022-10-13,arbitrum,511949.0
2022-10-14,arbitrum,318847.0
2022-10-15,arbitrum,90013.0
2022-10-16,arbitrum,112904.0
2022-10-17,arbitrum,237089.0
2022-10-18,arbitrum,366577.0
2022-10-19,arbitrum,150114.0
2022-10-20,arbitrum,227831.0
2022-10-21,arbitrum,306075.0
2022-10-22,arbitrum,118047.0
2022-10-23,arbitrum,370514.0
2022-10-24,arbitrum,717112.0
2022-10-25,arbitrum,785355.0
2022-10-26,arbitrum,793295.0
2022-10-27,arbitrum,722327.0
2022-10-28,arbitrum,580147.0
2022-10-29,arbitrum,905427.0
2022-10-30,arbitrum,394728.0
2022-10-31,arbitrum,461098.0
2022-11-01,arbitrum,320942.0
2022-11-02,arbitrum,609647.0
2022-11-03,arbitrum,313341.0
2022-11-04,arbitrum,578300.0
2022-11-05,arbitrum,321086.0
2022-11-06,arbitrum,325956.0
2022-11-07,arbitrum,734584.0
2022-11-08,arbitrum,2088400.0
2022-11-09,arbitrum,1617749.0
2022-11-10,arbitrum,1814814.0
2022-11-11,arbitrum,1239426.0
2022-11-12,arbitrum,658845.0
2022-11-13,arbitrum,589107.0
2022-11-14,arbitrum,1265533.0
2022-11-15,arbitrum,537987.0
2022-11-16,arbitrum,501626.0
2022-11-17,arbitrum,361155.0
2022-11-18,arbitrum,260277.0
2022-11-19,arbitrum,196402.0
2022-11-20,arbitrum,501743.0
2022-11-21,arbitrum,1406409.0
2022-11-22,arbitrum,818089.0
2022-11-23,arbitrum,575303.0
2022-11-24,arbitrum,473650.0
2022-11-25,arbitrum,379424.0
2022-11-26,arbitrum,273421.0
2022-11-27,arbitrum,159861.0
2022-11-28,arbitrum,1139410.0
2022-11-29,arbitrum,677909.0
2022-11-30,arbitrum,870876.0
2022-12-01,arbitrum,363821.0
2022-12-02,arbitrum,308398.0
2022-12-03,arbitrum,397609.0
2022-12-04,arbitrum,220369.0
2022-12-05,arbitrum,434212.0
2022-12-06,arbitrum,212029.0
2022-12-07,arbitrum,390279.0
2022-12-08,arbitrum,557897.0
2022-12-09,arbitrum,401736.0
2022-12-10,arbitrum,337821.0
2022-12-11,arbitrum,265374.0
2022-12-12,arbitrum,421264.0
2022-12-13,arbitrum,1274238.0
2022-12-14,arbitrum,571585.0
2022-12-15,arbitrum,353424.0
2022-12-16,arbitrum,831615.0
2022-12-17,arbitrum,272935.0
2022-12-18,arbitrum,307750.0
2022-12-19,arbitrum,397166.0
2022-12-20,arbitrum,417963.0
2022-12-21,arbitrum,316137.0
2022-12-22,arbitrum,333174.0
2022-12-23,arbitrum,525667.0
2022-12-24,arbitrum,75769.0
2022-12-25,arbitrum,147992.0
2022-12-26,arbitrum,113320.0
2022-12-27,arbitrum,214629.0
2022-12-28,arbitrum,277497.0
2022-12-29,arbitrum,151149.0
2022-12-30,arbitrum,254961.0
2022-12-31,arbitrum,112911.0
2023-01-01,arbitrum,116239.0
2023-01-02,arbitrum,216090.0
2023-01-03,arbitrum,135296.0
2023-01-04,arbitrum,464609.0
2023-01-05,arbitrum,234920.0
2023-01-06,arbitrum,321266.0
2023-01-07,arbitrum,88506.0
2023-01-08,arbitrum,284857.0
2023-01-09,arbitrum,2317906.0
2023-01-10,arbitrum,401426.0
2023-01-11,arbitrum,604029.0
2023-01-12,arbitrum,1119796.0
2023-01-13,arbitrum,854730.0
2023-01-14,arbitrum,1133957.0
2023-01-15,arbitrum,319125.0
