anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
GBP,2028-09-30,1.0,24.12333974616603,0.7270187893581846,-4.6232796789171867e-07,20.625255461836147,3.1333333333333333,3.725629465951672,1.0,-0.009480026943746823,3
JPY,2028-09-30,1.0,24.12333974616603,0.7270187893581846,-4.6232796789171867e-07,20.625255461836147,4.133333333333333,5.12564168771965,1.0,-0.012305198001912387,3
SGD,2028-09-30,1.0,24.12333974616603,0.7270187893581846,-4.6232796789171867e-07,20.625255461836147,3.1333333333333333,0.1696914027499674,0.967741935483871,-0.004894686655439301,2
AUD,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,2.166666666666667,6.8980758922680945,0.967741935483871,-0.0010620022892219305,2
CAD,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,3.166666666666667,0.20263729279324139,0.9666666666666667,-0.005822031691538476,2
CHF,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,3.166666666666667,1.2454159654583514,1.0,-0.0028307697692661836,5
CNY,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,0.16666666666666674,14.579921439716696,1.0,0.001101761436823212,2
EUR,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,4.166666666666667,9.318624958980376,0.9786407766990292,-0.0039465327746739665,25
GBP,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,3.166666666666667,3.725629465951672,1.0,-0.009480026943746823,3
JPY,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,4.166666666666667,5.12564168771965,1.0,-0.012305198001912387,3
