anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
CAD,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,1.4666666666666668,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,1.4666666666666668,1.6605546206111352,1.0,-0.0028307697692661836,2
CNY,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,-1.5333333333333332,19.439895252955598,1.0,0.001101761436823212,1
EUR,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,2.466666666666667,12.424833278640502,0.9786407766990292,-0.0039465327746739665,10
GBP,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,1.4666666666666668,4.967505954602229,1.0,-0.009480026943746823,1
JPY,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,2.466666666666667,6.834188916959533,1.0,-0.012305198001912387,1
SGD,2028-07-31,1.0,24.081646538836797,0.22701878935818465,-0.5000010248318137,19.737764495435258,1.4666666666666668,0.22625520366662322,0.967741935483871,-0.004894686655439301,1
AUD,2028-08-31,1.0,24.045826475834748,0.22701878935818465,-0.5000006883374244,19.726243945362235,0.44999999999999996,9.197434523024127,0.967741935483871,-0.0010620022892219305,1
CAD,2028-08-31,1.0,24.045826475834748,0.22701878935818465,-0.5000006883374244,19.726243945362235,1.45,0.2701830570576552,0.9666666666666667,-0.005822031691538476,1
CHF,2028-08-31,1.0,24.045826475834748,0.22701878935818465,-0.5000006883374244,19.726243945362235,1.45,1.6605546206111352,1.0,-0.0028307697692661836,2
CNY,2028-08-31,1.0,24.045826475834748,0.22701878935818465,-0.5000006883374244,19.726243945362235,-1.55,19.439895252955598,1.0,0.001101761436823212,1
