anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
CAD,2025-07-31,1,0.4642173983909723,0.2988196429037741,1.0,0.9354838709677419,-0.011793775938738427,2.0,2.0,2.0,0,0.0,2.0,0.22583372157646833,-0.24755268536203576,1.0,0.9666666666666667,1.0,2.0,2.0,0.0
CAD,2025-08-31,1,0.2655280296628745,0.004685613256504695,1.0,0.967741935483871,0.006240083717131806,2.0,2.0,2.0,0,0.0,2.0,0.4642173983909723,0.2988196429037741,1.0,0.9354838709677419,1.0,2.0,2.0,0.0
CAD,2025-09-30,1,0.16846292177531894,0.00854500920749974,1.0,0.9666666666666667,-0.012364521361684866,2.0,2.0,2.0,0,0.0,2.0,0.2655280296628745,0.004685613256504695,1.0,0.967741935483871,1.0,2.0,2.0,0.0
CAD,2025-10-31,1,0.2268732138826419,0.06013398774674031,0.9666666666666667,0.9666666666666667,-0.0075153208710453945,2.0,2.0,2.0,0,0.0,2.0,0.16846292177531894,0.00854500920749974,1.0,0.9666666666666667,1.0,2.0,2.0,0.0
CAD,2025-11-30,1,0.17510275886613902,0.19487944137098756,1.0,0.8,-0.0036766240033554998,2.0,2.0,2.0,0,0.0,2.0,0.2268732138826419,0.06013398774674031,0.9666666666666667,0.9666666666666667,1.0,2.0,2.0,0.0
CHF,2024-11-30,3,3.0071773235986963,1.0666538690131493,1.0,1.0,-0.018843597048228966,2.0,2.0,2.0,0,0.0,,,,,,,,,
CHF,2024-12-31,3,3.279623053834629,0.8403877425134323,1.0,1.0,-0.027518896927110112,2.0,2.0,2.0,0,0.0,2.0,3.0071773235986963,1.0666538690131493,1.0,1.0,3.0,2.0,2.0,0.0
CHF,2025-01-31,3,1.8026683045198042,-0.4772883136815291,0.967741935483871,0.956989247311828,-0.003538496417482731,2.0,2.0,2.0,0,0.0,2.0,3.279623053834629,0.8403877425134323,1.0,1.0,3.0,2.0,2.0,0.0
CHF,2025-02-28,3,0.9063949737047089,-0.49916967529393186,0.9878048780487805,0.9878048780487805,0.007568165082016617,2.0,2.0,2.0,0,0.0,2.0,1.8026683045198042,-0.4772883136815291,0.967741935483871,0.956989247311828,3.0,2.0,2.0,0.0
CHF,2025-03-31,3,0.8299322600572786,-0.539337782830076,0.978494623655914,0.967741935483871,0.023592663561720947,2.0,2.0,2.0,0,0.0,2.0,0.9063949737047089,-0.49916967529393186,0.9878048780487805,0.9878048780487805,3.0,2.0,2.0,0.0
